CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
47,4.37,28.669625227109513,-105.98520269389587,Morelos
48,4.2,28.662484186298077,-105.950317015625,Morelos
3,3.71,28.77581784195804,-106.16689104335663,Colón
7,3.42,28.740339224665394,-106.13810106787763,Colón
8,3.24,28.74211442208904,-106.12564148630136,Colón
9,2.85,28.74053542972973,-106.11033049054053,Colón
18,2.75,28.702176211126964,-106.09123946790298,Villa
55,2.69,28.608225432546377,-106.02789314839798,Morelos
59,2.68,28.58781981683168,-106.03599641089109,Morelos
25,2.64,28.651471216783214,-106.08689958041958,Villa
