CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
47,4.0,28.669625227109513,-105.98520269389587,Morelos
48,3.97,28.662484186298077,-105.950317015625,Morelos
3,3.45,28.77581784195804,-106.16689104335663,Colón
7,3.19,28.740339224665394,-106.13810106787763,Colón
8,3.13,28.74211442208904,-106.12564148630136,Colón
18,2.61,28.702176211126964,-106.09123946790298,Villa
9,2.56,28.74053542972973,-106.11033049054053,Colón
59,2.48,28.58781981683168,-106.03599641089109,Morelos
54,2.45,28.654785013888887,-105.96497487896825,Morelos
13,2.38,28.72575505078125,-106.12049648242187,Colón
