CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
47,3.84,28.669625227109513,-105.98520269389587,Morelos
48,3.75,28.662484186298077,-105.950317015625,Morelos
3,3.38,28.77581784195804,-106.16689104335663,Colón
7,3.15,28.740339224665394,-106.13810106787763,Colón
8,2.84,28.74211442208904,-106.12564148630136,Colón
18,2.53,28.702176211126964,-106.09123946790298,Villa
55,2.5,28.608225432546377,-106.02789314839798,Morelos
9,2.4,28.74053542972973,-106.11033049054053,Colón
59,2.38,28.58781981683168,-106.03599641089109,Morelos
25,2.24,28.651471216783214,-106.08689958041958,Villa
