CUADRANTE,PREDICCION_ROBOS_MES_N,LATITUD,LONGITUD,DISTRITO
25,1.6,28.651471216783214,-106.08689958041958,Villa
8,1.4,28.74211442208904,-106.12564148630136,Colón
55,1.38,28.608225432546377,-106.02789314839798,Morelos
7,1.22,28.740339224665394,-106.13810106787763,Colón
21,1.03,28.66695974105866,-106.11913413018598,Villa
31,1.0,28.645881639583333,-106.10942998125,Diana
70,0.96,28.623247004761904,-106.06015016547619,Zapata
12,0.96,28.715160206117023,-106.14221282978724,Colón
47,0.93,28.669625227109513,-105.98520269389587,Morelos
19,0.91,28.682082528716215,-106.11994280405405,Villa
